id,predicted_result_type,sentence_year,sentence_months,sentence_days,sentence_hours,is_suspended,suspension_years,suspension_months,fine_is_fixed,fine_amount,drug_weight,predicted_amount,drug_weight.1,entry_date,result_date,result_type,court_city,region,latitude,longitude,sentence_total_months,sentence_type,has_fine,fine_category,accuracy_flag,log_fine,log_weight,region_group
10249707,условное осуждение,3.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,2.157,значительный,"2,157",11.5.2022,12.7.2022,Вынесен ПРИГОВОР,г. Красноярск,Красноярский край,56.0153,92.8932,36.0,,Нет,Нет штрафа,Разнится,0.0,1.1496222095758546,Центр
10042738,условное осуждение,3.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,22.87,значительный,"22,87",30.6.2021,26.11.2021,Вынесен ПРИГОВОР,г. Симферополь,Республика Крым,44.9521,34.1024,42.0,,Нет,Нет штрафа,Разнится,0.0,3.1726224403507386,Центр
10067867,штраф,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,крупный,,7.2.2022,20.7.2022,Вынесен ПРИГОВОР,г. Пятигорск,Ставропольский край,45.0448,41.969,0.0,,Нет,Нет штрафа,Разнится,0.0,0.0,Центр
10249698,условное осуждение,3.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,19.438,значительный,"19,438",11.5.2022,7.10.2022,Вынесен ПРИГОВОР,г. Красноярск,Красноярский край,56.0153,92.8932,36.0,,Нет,Нет штрафа,Разнится,0.0,3.0173959131900174,Центр
10216096,штраф,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,значительный,"1,33",9.1.2024,1.2.2024,Уголовное дело ПРЕКРАЩЕНОназначена мера уголовно-правового характера - СУДЕБНЫЙ ШТРАФ (ст. 25.1 УПК РФ),г. Владивосток,Приморский край,43.1155,131.8855,0.0,,Нет,Нет штрафа,Разнится,0.0,0.8458682675776092,Центр
10154147,штраф,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15000.0,0.91,значительный,"0,91",16.2.2018,2.3.2018,Вынесен ПРИГОВОР,г. Новотроицк,Оренбургская область,51.7682,55.0968,0.0,,Да,10k–50k₽,Разнится,9.61587214452889,0.6471032420585385,Центр
10158108,условное осуждение,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,270.4,крупный,"270,4",28.2.2023,22.3.2023,Вынесен ПРИГОВОР,г. Евпатория,Республика Крым,44.9521,34.1024,0.0,,Нет,Нет штрафа,Разнится,0.0,5.603593747400769,Центр
10189178,штраф,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,крупный,,23.9.2020,22.3.2021,Вынесен ПРИГОВОР,г. Ижевск,Удмуртская Республика,56.8526,53.2045,0.0,,Нет,Нет штрафа,Разнится,0.0,0.0,Центр
9986001,обязательные работы,0.0,0.0,0.0,300.0,0.0,0.0,0.0,1.0,0.0,145.0,значительный,"77;
68",31.10.2023,4.12.2023,Вынесен ПРИГОВОР,г. Томск,Томская область,56.501,84.9925,0.0,,Нет,Нет штрафа,Разнится,0.0,4.983606621708336,Центр
10261963,штраф,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,значительный,,29.5.2019,18.6.2019,Вынесен ПРИГОВОР,с. Коркмаскала,Республика Дагестан,42.9849,47.5047,0.0,,Нет,Нет штрафа,Разнится,0.0,0.0,Центр
